id;name;IP;mask
0;en0;fe80::c41:7b75:25d0:f506;ffffffffffffffff0000000000000000
0;en0;192.168.1.16;ffffff00
0;en0;2a01:cb08:917:4300:c87:3014:70f5:2a1f;ffffffffffffffff0000000000000000
0;en0;2a01:cb08:917:4300:b097:f199:9969:582c;ffffffffffffffff0000000000000000
0;en0;2a01:cb08:917:4300:6dfd:77f6:ac78:82ce;ffffffffffffffff0000000000000000
1;awdl0;fe80::f4b4:94ff:fe71:c07d;ffffffffffffffff0000000000000000
2;llw0;fe80::f4b4:94ff:fe71:c07d;ffffffffffffffff0000000000000000
3;utun0;fe80::b03b:bf89:2cfa:64bd;ffffffffffffffff0000000000000000
4;vboxnet0;192.168.99.1;ffffff00
5;utun1;fe80::346a:d045:c677:97e6;ffffffffffffffff0000000000000000
6;utun2;fe80::3149:11d6:c7cb:312;ffffffffffffffff0000000000000000
7;utun3;fe80::4870:5b97:e544:f725;ffffffffffffffff0000000000000000
8;utun4;fe80::9c85:de9c:3036:df28;ffffffffffffffff0000000000000000
9;en5;fe80::aede:48ff:fe00:1122;ffffffffffffffff0000000000000000
10;lo0;127.0.0.1;ff000000
10;lo0;::1;ffffffffffffffffffffffffffffffff
10;lo0;fe80::1;ffffffffffffffff0000000000000000
11;bridge0;;
12;en1;;
13;en2;;
14;en3;;
15;en4;;
16;gif0;;
17;stf0;;
18;ap1;;
